record_id_1,record_id_2
C29866,C42180
C27372,C43173
C34072,C33608
D01273,C22123
C34979,C40824
C43184,C27358
C35245,C39950
C36825,C27950
C32088,C22142
C32380,C29658
C41550,D00753
C45239,C26575
C38802,C42449
C41451,C29795
C46459,C44552
D01274,C26652
C34187,C28603
C32279,C31104
C25313,C44976
C25907,C38800
C25621,C25662
C46263,C51330
C34980,C30225
C22586,C24648
C40757,C25576
C34054,C45814
C30621,C27991
C33087,C30945
C50324,C44368
C43091,C32572
C22587,C35856
C32893,C26842
C27565,C32975
C32297,C32078
C26461,C29758
C25408,C22262
C22589,C47265
C45366,C26310
C31652,C34627
C23370,C34094
D01275,C25509
C39207,C38191
C25647,C36388
C23709,C36580
C32471,C37968
C25845,C43154
C22590,C40709
D01276,C37698
C23907,C33212
C25757,C47035
C22763,C36807
C41005,C25797
C29747,C29107
C22591,C31977
C23050,C32651
C46901,C26274
C29613,C47193
C34050,C36001
C35475,D01010
C22642,C47463
C44193,C33061
C39208,C29115
D01277,C24557
C23940,C31841
C39209,C34488
C44602,C25980
C41569,C45130
C24918,C28454
C31601,C41730
C47143,C44578
C22592,C40187
C25709,C24516
C23051,C35506
C25360,C31006
D01278,C44275
C46591,D01120
C30575,C28513
C38648,C50043
C38239,C34605
C26124,C41267
C29863,C39059
C34403,C22493
C45225,C30307
C31657,C29646
C44112,D01181
C24985,C22513
C35771,C36460
C43060,C46197
C45927,C25918
C43990,C23781
C25231,C35364
C22593,C31720
C43865,C41211
C29938,C22545
C28970,C44001
C26998,C42967
C34350,C51069
C24938,C50245
C32473,C50248
C32086,C22555
C25050,C26758
C28064,C44051
C50336,C41489
C34739,C34411
C46431,C29800
C40277,C28242
C40408,C32197
C45022,C40982
C44424,C33060
C22610,C32833
C29038,C44010
C22615,C40290
C45282,C22620
C36261,C51284
C31136,C40294
C23899,C36261
C24853,C39212
C34703,C41190
C50412,C46519
C42312,C43187
C51951,C21633
D01305,C42637
C37450,C42018
C28814,C22635
C50423,C28376
C46275,D01316
C23121,C23497
C42193,C43642
C24865,C28134
C34138,C24865
C22641,C22643
C52088,C45680
C31204,C32001
C26607,C35444
C40834,C40917
C22656,C40111
C22818,C23089
C23090,C22594
C22773,C22764
C50458,C34138
C30306,C28473
D01329,C26363
C22775,C22595
C39029,C25348
C29931,C50338
C29250,C42574
C29128,C29931
C27842,C26352
C23542,C46269
C47504,C27701
C44132,C47136
C28850,C40278
C34324,C46392
C23984,C42656
C43265,C46021
C28933,C24404
C22699,C26435
C36693,C30424
C26912,C38240
C46779,C27843
C50526,C22908
C24393,C50533
C24690,C23052
C30480,C30946
C37215,C22706
C46691,C32212
C35446,C47568
C23072,C25669
C28437,C23072
C43872,C26235
C25058,C27115
C38590,C41626
C35124,D01387
C45690,C36307
C44000,C50340
C50575,C50574
C24667,C51365
C23076,C22730
D01399,C29494
C30589,C22337
C38257,C36432
C35932,C35128
C32821,C22739
D01417,C34104
C24687,D01410
C26792,C36330
C50630,C23078
D01424,C52029
C29680,C40845
C31425,C50638
C41032,C43930
C44490,C41032
C47297,C27537
C21523,C47297
C35342,C21523
C43739,C35342
C29668,C43739
C45299,C29668
C42544,C45299
C43159,C42544
C26985,C43159
C39064,C26985
C34229,C44490
C38712,D00001
C44965,C38712
D00002,C44965
C36355,D00002
C46257,C36355
C39502,C46257
C36294,C39502
C43185,C36294
C47599,C43185
